Date,Open,High,Low,Close
08/13/2019,"57.80","58.60","57.80","58.65"
08/12/2019,"57.50","57.95","57.50","57.60"
08/09/2019,"57.40","57.65","57.40","57.35"
08/08/2019,"56.50","57.75","56.50","57.50"
08/07/2019,"56.75","56.80","56.55","56.70"
08/06/2019,"57.10","57.30","56.60","56.85"
08/05/2019,"58.00","58.25","57.70","57.75"
08/02/2019,"58.85","58.85","58.85","59.10"
08/01/2019,"58.75","59.20","58.70","59.50"
07/31/2019,"59.00","59.30","58.75","58.75"
07/30/2019,"58.70","58.70","58.70","58.85"
07/29/2019,"60.40","60.50","59.10","59.25"
07/26/2019,"62.00","62.00","61.00","60.65"
07/25/2019,"62.25","62.65","62.25","62.40"
07/24/2019,"62.40","62.50","62.25","62.60"
07/23/2019,"62.95","63.00","62.95","63.60"
07/22/2019,"63.10","63.10","63.10","62.75"
07/19/2019,"61.80","62.75","61.80","63.15"
07/18/2019,"60.85","61.10","60.10","60.30"
07/17/2019,"59.00","60.00","59.00","60.25"
07/16/2019,"60.00","60.00","59.70","59.70"
07/15/2019,"61.50","61.50","61.50","60.80"
07/12/2019,"61.00","61.10","61.00","61.15"
07/11/2019,"62.00","62.00","62.00","61.70"
07/10/2019,"60.00","60.00","60.00","61.15"
07/09/2019,"60.10","60.10","59.00","58.80"
07/08/2019,"60.20","61.00","60.20","60.35"
07/05/2019,"58.40","59.35","58.40","59.25"
07/04/2019,"56.00","57.30","56.00","58.30"
07/03/2019,"55.00","55.30","55.00","55.65"
07/02/2019,"54.55","54.55","54.55","54.20"
07/01/2019,"54.35","54.40","54.35","54.55"
06/28/2019,"53.55","53.55","53.55","53.90"
06/27/2019,"54.00","54.00","54.00","53.50"
06/26/2019,"54.10","54.10","54.10","54.10"
06/25/2019,"53.75","53.75","53.50","53.55"
06/24/2019,"54.80","54.80","54.80","54.80"
06/21/2019,"54.70","54.70","54.70","54.70"
06/20/2019,"54.35","54.35","54.35","54.35"
06/19/2019,"53.00","53.00","53.00","53.30"
06/18/2019,"53.05","53.05","53.05","53.05"
06/17/2019,"54.00","54.25","54.00","54.05"
06/14/2019,"55.25","55.25","55.25","55.25"
06/13/2019,"55.85","55.85","55.85","55.85"
06/12/2019,"55.85","55.85","55.85","55.85"
06/11/2019,"57.20","57.20","57.20","57.20"
06/10/2019,"59.05","59.05","59.05","59.05"
06/07/2019,"58.00","58.00","58.00","58.00"
06/06/2019,"57.00","57.00","57.00","57.00"
06/05/2019,"56.60","56.60","56.60","56.60"
06/04/2019,"56.50","56.50","56.50","57.70"
06/03/2019,"56.00","56.00","56.00","56.70"
05/31/2019,"56.20","56.20","56.20","57.70"
05/30/2019,"58.35","58.35","58.35","58.35"
05/29/2019,"59.20","59.20","59.20","59.20"
05/28/2019,"60.40","60.40","60.40","60.40"
05/27/2019,"61.50","61.50","61.50","61.50"
05/24/2019,"61.50","61.50","61.50","61.50"
05/23/2019,"62.25","62.25","62.25","62.00"
05/22/2019,"63.30","63.30","63.30","63.30"
05/21/2019,"63.55","63.55","63.55","63.55"
05/20/2019,"62.25","62.25","62.25","62.25"
05/17/2019,"64.00","64.00","64.00","64.00"
05/16/2019,"64.25","64.25","64.25","64.25"
05/15/2019,"65.75","65.75","65.75","65.75"
05/14/2019,"65.65","65.65","65.65","65.65"
05/13/2019,"64.80","64.80","64.80","64.80"
05/10/2019,"66.05","66.05","66.05","66.05"
05/09/2019,"66.15","66.15","66.15","66.15"
05/08/2019,"67.45","67.45","67.45","67.45"
05/07/2019,"66.15","66.15","66.15","66.15"
05/06/2019,"67.80","67.80","67.80","67.80"
05/03/2019,"68.80","68.80","68.80","68.80"
05/02/2019,"66.55","66.55","66.55","66.55"
05/01/2019,"64.80","64.80","64.80","64.80"
04/30/2019,"66.15","66.15","66.15","66.15"
04/29/2019,"65.60","65.60","65.60","65.45"
04/26/2019,"66.00","66.00","66.00","66.00"
04/25/2019,"66.55","66.55","66.55","66.55"
04/24/2019,"66.35","66.35","66.35","66.35"
04/23/2019,"68.60","68.60","68.60","68.60"
04/22/2019,"68.35","68.35","68.35","68.35"
04/19/2019,"68.35","68.35","68.35","68.35"
04/18/2019,"68.35","68.35","68.35","68.35"
04/17/2019,"70.25","70.25","70.25","70.25"
04/16/2019,"68.80","68.80","68.80","68.80"
04/15/2019,"68.90","68.90","68.90","68.90"
04/12/2019,"70.55","70.55","70.55","70.55"
04/11/2019,"71.15","71.15","71.15","71.15"
04/10/2019,"68.25","68.25","68.25","68.25"
04/09/2019,"71.40","71.40","71.40","71.40"
04/08/2019,"70.05","70.05","70.05","70.05"
04/05/2019,"70.10","70.10","70.10","70.10"
04/04/2019,"66.55","66.55","66.55","66.55"
04/03/2019,"64.00","64.00","64.00","64.00"
04/02/2019,"65.25","65.25","65.25","65.25"
04/01/2019,"66.85","66.85","66.85","66.85"
03/29/2019,"70.40","70.40","70.40","70.40"
03/28/2019,"70.45","70.45","70.45","70.45"
03/27/2019,"70.60","70.60","70.60","70.60"
03/26/2019,"70.70","70.70","70.70","70.70"
03/25/2019,"70.70","70.70","70.70","70.70"
03/22/2019,"70.85","70.85","70.85","70.85"
03/21/2019,"70.95","70.95","70.95","70.95"
03/20/2019,"71.10","71.10","70.95","71.20"
03/19/2019,"71.25","71.25","71.25","71.25"
03/18/2019,"71.15","71.50","71.15","71.45"
03/15/2019,"71.40","71.40","71.40","71.40"
03/14/2019,"71.95","71.95","71.95","71.95"
03/13/2019,"71.50","71.50","71.50","71.80"
03/12/2019,"72.65","72.65","72.65","72.65"
03/11/2019,"72.75","72.75","72.55","72.30"
03/08/2019,"72.80","72.80","72.35","72.35"
03/07/2019,"73.00","73.15","73.00","73.15"
03/06/2019,"74.50","74.50","73.50","73.45"
03/05/2019,"74.50","74.50","74.50","74.50"
03/04/2019,"75.10","75.10","75.10","75.10"
03/01/2019,"74.90","74.90","74.75","74.60"
02/28/2019,"75.05","75.05","75.05","75.05"
02/27/2019,"74.50","75.10","74.40","75.05"
02/26/2019,"75.00","75.00","74.00","74.05"
02/25/2019,"72.75","73.25","72.75","73.25"
02/22/2019,"74.10","74.10","74.10","74.10"
02/21/2019,"74.25","74.25","74.25","74.25"
02/20/2019,"74.35","74.35","74.35","74.35"
02/19/2019,"74.00","74.00","74.00","74.05"
02/18/2019,"74.10","74.10","74.10","74.10"
02/15/2019,"74.00","74.00","73.90","74.10"
02/14/2019,"73.90","74.00","73.80","73.75"
02/13/2019,"73.60","73.90","73.60","74.10"
02/12/2019,"73.30","73.30","73.10","73.15"
02/11/2019,"73.70","73.70","73.55","73.60"
02/08/2019,"74.10","74.10","74.10","74.10"
02/07/2019,"75.45","75.45","75.45","75.20"
02/06/2019,"75.60","75.60","75.60","76.05"
02/05/2019,"75.85","76.60","75.50","75.70"
02/04/2019,"76.00","76.10","75.60","76.30"
02/01/2019,"78.75","78.75","77.75","77.75"
01/31/2019,"78.90","79.35","78.50","79.05"
01/30/2019,"80.00","80.00","79.75","79.85"
01/29/2019,"78.60","79.20","78.30","79.75"
01/28/2019,"79.85","79.85","78.80","79.00"
01/25/2019,"79.40","79.70","79.05","79.75"
01/24/2019,"81.50","81.50","79.65","79.60"
01/23/2019,"82.20","83.50","82.20","82.20"
01/22/2019,"81.00","81.75","80.85","81.60"
01/21/2019,"81.35","81.40","81.00","81.40"
01/18/2019,"85.50","85.50","85.50","85.50"
01/17/2019,"83.40","83.40","83.40","83.40"
01/16/2019,"82.50","83.05","82.50","82.95"
01/15/2019,"82.25","82.40","82.25","82.50"
01/14/2019,"82.00","82.05","82.00","82.00"
01/11/2019,"82.50","82.50","82.50","82.55"
01/10/2019,"82.00","82.00","82.00","82.15"
01/09/2019,"82.10","82.10","82.10","82.05"
01/08/2019,"82.05","82.05","82.05","82.05"
01/07/2019,"83.00","83.00","81.90","81.50"
01/04/2019,"83.35","83.50","83.35","83.45"
01/03/2019,"84.00","84.00","83.50","83.75"
01/02/2019,"85.45","85.45","85.45","85.45"
12/31/2018,"86.70","86.70","86.70","86.70"
12/28/2018,"87.00","87.00","87.00","86.05"
12/27/2018,"87.50","87.50","87.50","87.00"
12/24/2018,"88.50","88.50","88.50","88.50"
12/21/2018,"89.00","89.05","88.70","88.70"
12/20/2018,"88.60","88.70","88.60","88.95"
12/19/2018,"90.25","90.25","89.30","89.50"
12/18/2018,"90.50","90.50","90.20","90.00"
12/17/2018,"91.00","91.30","91.00","90.90"
12/14/2018,"90.20","90.50","90.20","90.75"
12/13/2018,"89.50","89.55","89.50","89.75"
12/12/2018,"89.25","89.25","89.25","89.25"
12/11/2018,"87.00","87.00","87.00","88.00"
12/10/2018,"87.00","87.00","87.00","87.35"
12/07/2018,"86.50","86.50","86.40","87.35"
12/06/2018,"87.00","87.00","87.00","87.15"
12/05/2018,"85.50","87.05","85.50","87.00"
12/04/2018,"85.60","85.90","85.60","86.30"
12/03/2018,"87.00","87.00","86.50","86.25"
11/30/2018,"86.40","86.40","86.40","86.40"
11/29/2018,"86.10","86.10","86.10","86.10"
11/28/2018,"84.75","85.10","84.75","85.05"
11/27/2018,"85.00","85.00","85.00","84.90"
11/26/2018,"83.00","83.00","83.00","84.80"
11/23/2018,"88.25","88.25","88.25","88.25"
11/22/2018,"88.60","88.60","88.60","88.60"
11/21/2018,"87.80","87.80","87.80","87.80"
11/20/2018,"88.05","88.05","88.05","88.05"
11/19/2018,"88.55","88.75","88.55","88.75"
11/16/2018,"89.75","89.75","89.75","89.10"
11/15/2018,"89.75","89.75","89.25","89.95"
11/14/2018,"90.00","90.00","90.00","90.50"
11/13/2018,"91.45","91.45","91.45","91.45"
11/12/2018,"92.80","92.80","92.80","92.80"
11/09/2018,"91.70","91.70","91.70","91.70"
11/08/2018,"94.00","94.00","93.00","92.30"
11/07/2018,"93.50","93.50","93.50","94.00"
11/06/2018,"93.50","93.50","93.15","93.25"
11/05/2018,"95.50","95.50","95.00","94.70"
11/02/2018,"96.25","96.25","96.00","96.10"
11/01/2018,"96.20","96.20","95.00","95.35"
10/31/2018,"97.55","97.55","97.55","97.55"
10/30/2018,"99.65","99.70","98.25","98.70"
10/29/2018,"99.50","99.50","99.50","99.20"
10/26/2018,"99.55","99.55","98.70","98.85"
10/25/2018,"100.25","100.30","100.00","100.00"
10/24/2018,"101.00","101.20","100.70","100.65"
10/23/2018,"100.80","100.80","100.40","100.60"
10/22/2018,"101.30","101.30","101.30","101.30"
10/19/2018,"101.30","102.00","101.30","101.85"
10/18/2018,"99.75","100.10","99.75","100.00"
10/17/2018,"98.25","98.25","98.25","98.70"
10/16/2018,"97.85","97.95","97.85","98.10"
10/15/2018,"97.95","97.95","97.95","97.95"
10/12/2018,"98.50","98.50","98.10","98.15"
10/11/2018,"98.50","98.50","97.75","97.95"
10/10/2018,"101.00","101.00","99.65","99.10"
10/09/2018,"102.15","102.60","101.00","100.85"
10/08/2018,"102.00","102.00","101.30","101.75"
10/05/2018,"101.50","102.00","101.50","102.00"
10/04/2018,"101.60","101.60","101.60","101.65"
10/03/2018,"102.00","102.00","102.00","101.00"
10/02/2018,"102.25","102.80","101.90","102.25"
10/01/2018,"102.60","102.60","102.60","102.60"
09/28/2018,"100.35","100.35","100.35","100.15"
09/27/2018,"100.20","100.30","100.20","100.35"
09/26/2018,"100.30","100.30","100.30","100.30"
09/25/2018,"100.30","100.30","100.30","100.30"
09/24/2018,"100.35","100.35","100.35","100.35"
09/21/2018,"100.30","100.30","100.30","100.30"
09/20/2018,"99.65","99.65","99.65","99.65"
09/19/2018,"99.40","100.00","99.40","100.30"
09/18/2018,"98.20","98.90","98.20","98.65"
